"","sentiment.score","ReviewContent","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"379",-0.25,"It's a hard one to ever put day",0,0,0,0,0,0,0,0,0,0
"383",-0.75,"Starts as a chick flick, then shows out as down and dirty drama.so different from other normal style of explaining real life.just buy it.",0,0,1,0,0,0,0,1,1,1
"385",-2.35,"The story line was too slow until the end when the story was reaching it's conclusion.  I lost sympathy with the main character as her behavior got boring and unrealistic.",0,0,0,0,0,2,0,0,2,2
"393",-1.65,"I'm flabbergasted by the rave reviews, especially that there are 17,500+ mostly positive reviews. At the 20% mark, I debated ending the boredom since nothing had happened yet. Once I got to about 50%, I was still bored and confused about what all the fuss what about because still nothing much had happened. But I slogged through and finished, and I'm still shaking my head. Not one of the seven main characters is likable. Most of them drink heavily. The pacing is slow and repetitive. The book felt so amateurish that I really question what has happened to the reading public that books like this and Gone Girl, another poorly written and over-hyped mess, are so popular. Are books with fully developed characters and carefully crafted plots too challenging for people? I just don't get it.",2,1,2,1,1,2,1,2,7,7
"394",-4.85,"What a waste of time.  This book is getting lots of attention while it should be ignored.  I should have put it down when 4D (Drunk, Depressed, Ditzy, Destructive) protagonist continues haranguing the ex-husband.  This one is hard to stomach, 4D has no clue as to her ex's character?  She goes to work for months after being fired? 4D can't remember what she did while drinking but later in the book does.  The only cheat the author didn't succumb to is magic.",3,2,4,2,0,1,0,1,6,2
"396",-1.9,"Meh.  I wasn't very impressed.  While the story line was okay, I felt that it was predictable.  I think all the hype set me up for disappointment.  I felt that a lot of things were repeated, and grew tired of reading the same types of details used to describe the characters.  I thought it was interesting when the author went into detail about alcohol induced blackouts, but once again, mentioned it so many times, which played a part in the predictability.  The way the story wrapped up was especially jarring and disappointing.  it was unrealistic, and again, contributed to it's predictability.  its a short and somewhat enjoyable read, and many people enjoy it.  If you're looking for a book to jolt your senses, push buttons, or affect your emotions in any way, this book is not for you.",0,3,1,1,1,3,1,2,5,4
"397",-0.65,"This novel was a page turner for me.  I hated putting it down.  However, none of the characters is likeable and they are all rather depressing.  That doesn't bother me, as I like novels that have interesting character development.  I did think most of the characters and many of the events were unrealistic and over the top, but that is true of many novels. Think of science fiction and fantasy novels, for example.Rachel, the main character was an alcoholic and I kept hoping she would straighten up and quit drinking.  Much of the time I just wanted to shake her for making repeated poor decisions.  Her ex-husband Tom had left her for Anna.  They had a baby, something Rachel had not been able to do.  Anna and Tom seemed to be happy, but then he was cheating with Megan whom he hired to be a babysitter.  The story is told in alternating chapters by these three women.As I said, the novel kept me reading and wanting to know what would happen next.  I kept trying to figure out who was a reliable narrator and who committed the murder.  It was well written too. I guessed who the murderer was after reading about 80% of the book, but I occasionally thought I might be wrong.Even though I liked it a lot, it is not a book that I'm likely to remember a few years from now, perhaps because several of the situations seemed contrived.",2,5,3,2,2,4,1,5,8,8
"398",-1.15,"A got drawn into this book as much for the story about the dark journey of an alcoholic hitting bottom as for the tale of whodunnit.  I felt the author was quite good at detailing with accuracy and nuance the bizarre, guilt ridden, unreasonable inner world of a woman lost in blackout drinking.  The main character is pathetic, but she is sympathetic enough that I found her ultimately heroic.The author adeptly crafted a whodunnit tale with enough twists and turns, weaving a web of storylines with just enough believability that kept me guessing long enough.The authors strength was her keen understanding of the human mind at it's darker limits, reminding me a bit of what I loved so much about Crime and Punishment.",2,4,3,3,5,6,3,7,8,11
"400",-1.25,"Rachel is fat.  Fat fat Rachel.  Rachel drinks.  Drinks, Rachel, drink.  Rachel is unlikable.  Poor, poor Rachel.  Add in ex-husband Tom, who is shown to have about as much personality as paste.  New wife Anna, who slept with Tom while he was married to Rachel, and seems to exist primarily to whine about Fat Rachel (and Anna can't seem to think of Rachel without saying that she's Fat).  Scott, who sleeps with Rachel even though she's Fat and his wife has been murdered, and Megan, the murdered wife who has a history, but again no personality.  And finally, Rachel's roommate who exists solely to complain about Rachel's drinking.Dull.  Tedious.  You don't care about any of the characters.  And you can't really guess who dunnit as there are so few clues.Ah, well, if cured my insomnia for a while.",1,1,3,0,1,4,2,1,6,1
"404",-4.5,"I found the character of Rachel to be quite enjoyable, just because she's so difficult to like. In fact, all the characters in this book are difficult to like. They're all flawed. They all do awful things and are general a-holes. Still, you can't help but look at them and wonder if you see pieces of yourself in them. Have you ever cheated on someone? Been cheated on? Lied? Been a little too violent in an argument with a SO? Drunk-dialed/texted an ex, over and over, or just embarrassed yourself by being able to let go? Made a fool of yourself? Came to work hung over and useless? It's a good read, for sure. I'm sure reviewers like to use words like ""unflinching"" to describe it.I personally just enjoy books with characters that beat back the stereotypes. Rachel totally did that. She's overweight and totally makes a fool of herself repeatedly. You're disgusted by her weakness, and yet if you've ever been in a relationship, especially one that ended poorly, you can probably feel a glimmer of understanding.Hollywood will undoubtedly make this into an unrecognizable mess. But oh well, such is life.",4,3,4,3,4,1,3,6,9,6
"406",-0.65,"This book is told from three different perspectives: Rachel is an alcoholic who rides the train to and from London every day, watching the houses and imagining the peoples’ lives. Megan is one of those people, and she spends every day fighting within her own head about what to do — does she still likes her husband, or should she run away? Anna is the new wife of Tom, Rachel’s ex-husband. They live in Rachel’s old house with their baby girl, Evie. Rachel, depressed with how her life has turned out, spends her days drinking, usually ending with making a rude, drunken call to Tom.One day, Rachel sees Megan’s face in the news — she’s gone missing. Rachel has to battle her blackouts — she knows she saw something important, but she can’t remember. She knows she has to help.This book, widely regarded as the next “Gone Girl,” is a psychological thriller. It’s a strange feeling, as a reader, when the main character is such an unlikeable woman who is unwilling to help herself. However, with more and more information, more revelations, you begin to see why she is how she is. She has to fight for herself, for people to believe her, to have purpose in the world. “The Girl on the Train” is a solid thriller and I will definitely be reading any future books from Paula Hawkins.",5,1,2,4,2,3,1,2,8,8
"408",-0.15,"This is one of the best books I have read in a long time.  It was a page turning psychological thriller that was hard to put down and can easily finished in a day or afternoon of reading.  The main character, Rachel, is somewhat of a sad case that has not gotten over her failed marriage to Tom, who has moved on with another woman, Anna and recently had a child (something she was unable to give him).  As if the divorce and her inability to have children is not enough, Rachel is constantly reminded of Tom’s new life without her every day as she passes by their home that was once hers on the train each day.  She is obsessed with them and their neighbor Megan and her husband.  The story is told from the perspective of the three women; Rachel, Anna and Megan.  As Rachel’s life continues to disintegrate throughout the novel, her obsession with the couples along with her drinking problem continues to get worse.  As her life falls apart, she becomes engrossed with Megan’s disappearance and trying to solve what happened to her.  With the three perspective stories the reader is left trying to figure out what eventually happens to Megan upon her disappearance and how all three women are connected.  The climax and ending of the book is truly shocking and will leave you wanting more from Paula Hawkins.  The plot would make an excellent movie and I am looking forward to more work from this author.",1,6,2,5,4,8,3,7,10,10
"409",-1.9,"Great read!! I rarely give 5 Stars but this book totally deserves it.I loved the plot; a very sad, lonely, drunk, yet sympathetic woman cannot seem to let her ex husband go and move on with her life. She certainly has reason to be angry with him, he dumped her for another woman, but 2 years later she is still obsessed to the point of losing everyone and everything in her life. At times you really feel for her but other times you just want to shake her and tell her to get over it.One drunken night, while she (Rachel), acts on an impulse and decides to show up at her ex husband's house, she finds herself in the middle out of a missing persons investigation.The story is told alternately between the points of view of Rachel, Anna (former mistress, current wife of Rachel's ex) and Megan (missing women).  As the plot unfolds, we find out more about each woman, their lives, histories and motives. We also realize how little people really know about others and how outside impressions can be very deceiving.While reading this book, I didn't really find myself reflecting on the writing style. To me, that means it was written seamlessly for the story. The book was easy to get hooked on, I couldn't put it down once I got started. The ending was not what I had expected. Although  the 'bad guy' was one of several on my list, I really didn't figure it out until very near the end.I highly recommend reading this book. I'd love to hear others thoughts on it. It would make a great book club read.",4,2,4,3,2,4,0,4,8,5
"411",-0.65,"Gripping and compelling the whole time. Unpredictable twists and drama throughout the book. I can't wait to see the movie.",0,2,0,0,0,0,1,0,2,1
"416",-0.25,"Wow,  I couldn't put it down.  Rachel's voice  is so real my heart ached for her.  A page turner to the very end.",0,0,0,0,0,0,0,1,0,1
"424",-0.75,"The Girl on the Train had my attention at times, other times I felt like I was just trying to get to the end. The main character, Rachel, is a divorced, jobless, alcoholic. She shows up at her old house (which is now being lived in by her ex, his new wife and their daughter) and doesn't remember it the next day as she suffers from alcoholic amnesia. She makes up a pretend life for the people that live a few doors down from her old house as she passes them by everyday as she pretends to go to work. She then learns the woman in said house is now missing. She was in the area that night but cannot remember anything because of a blackout. The story then goes on with Rachel trying to fill in the missing pieces that night.This story is told from three different pov. We have Rachel, the amnesiac alcoholic, Anne, the mistress and now wife of Rachel's ex, and Megan, the now missing woman with a lot of secrets. Most of the characters in this book are rather bleak. The only one I found likeable was Rachel's roomate. I think she may be the only sane one in the bunch. This book could be redundant at times with Rachel always drinking but never remember what happened. But she somehow found her way home each time.I give it three stars because it was an okay read. I probably wouldn't recommend it to my friends but if you can't find anything to read this book can pass the time.",1,1,1,1,2,2,0,3,7,5
"429",-3.45,"This was a book I could not put down.That being said, in some ways, many ways in fact, it reminded me too much of Gone Girl.Perhaps this is the London version of Gone Girl.Girl on the Train is fast-paced, riveting and engrossing.I could not feel any sympathy for any of the characters. Rachel was a victim of her own habits, clumsy, dull, needy and relentlessly foolish in her behavior. I simply wanted to shake her and tell her to leave well enough alone, but then of course there would be no story, no conflict.Anna and Megan were shallow, greedy and wanting and taking what wasn't rightfully theirs to take. Megan's wanton nature did her in. Hers was a sad little life that might have turned out better if she had made better choices.Anna's life was a full circle, ""what goes around comes around"" tale.And the men were despicable brutish abusers!Seldom have I disliked so many characters in a novel!I did enjoy the book, but compared to Gone Girl it was a bit disappointing. It was written in the same style.. First one character's narrative, then another's, but the adversaries in Gone Girl were clearly more clever,  more attractive and even more resourceful.Though there were twists and turns, Girl on the Train was plodding in places and I really don't care what Rachel does next!",4,1,3,2,1,8,1,2,13,6
"430",-1.05,"I heard this book being hyped as the next Gone Girl, but it definitely isn't.  It's a good book, don't get me wrong, but I just felt like the story was sloppy... Maybe because Rachel was so sloppy with her drinking and her behavior (and in turn her narration) but it's hard to get behind a character that is so non like-able.  Maybe if there had been more telling about her relationship with Tom in the beginning, so you are able to develop some sympathy for her before you meet her as a black out drunk.  I don't know.*SPOILERS*All that aside, I did spend the whole book trying to formulate who I thought was the culprit, and at one point I was thinking that it could have been Rachel that killed Megan so obviously the plot was well written and spun together.  I had suspicions early on about what was going on with Megan and I was right about those assumptions, but did not expect the end with Anna.So overall, a good read that kept my interest... the comparisons to Gone Girl though really set it up to disappoint some readers I think though.",1,4,2,0,1,3,2,2,6,5
"431",-0.25,"Truly keeps you guessing to the very end! I read this in 3 days, very surprising. Can't wait for the film.",0,1,0,0,0,0,1,0,1,0
"432",-1,"I couldn't put the book down! There were twist and turns on each page. Never would have guessed who the killer is",0,0,0,0,0,0,0,0,0,0
"436",-2.25,"Started a bit slow and the middle was a bit boring and confusing towards the middle. Was shocked by the ending.",0,0,0,0,0,0,0,0,1,0
"450",-0.25,"I enjoyed the way the novel was sewn and woven in time. It was a very improbable plot but empowering to know that the bully got his due.",1,1,0,1,0,0,0,0,1,0
"452",-0.5,"Hard to put down this weird, weird book!",0,0,1,0,0,0,0,0,1,0
"455",-0.6,"The main character was an alcoholic and  consequently she couldn't remember or justify her behavior.  Plot was confusing and weak.",0,0,0,0,0,0,0,0,0,1
"458",-0.05,"Anyone that likes multiple viewpoints of the same scene this book is for you. Intrigue, suspense, murder, and lust make this book intense and believable.",2,3,2,4,1,1,4,1,4,1
"463",-3.75,"Except with Hitchcock I haven't read a compelling book that gives the reader a separate scene that allows complete third person omniscient perspective. On this train Rachel rides daily into London to a job she lost months ago. Her perspective out of the train window and when the train stops she can peek into the homes and lives of two separate families. On the train back to her flat, she often begins drinking canned gin and tonics that eventually lead to her alcoholic black outs. She is obsessive about her lost life with her ex-husband, her infertility and a mystical couple who live a few doors down from her previous home.Not only does Rachel observe the back terraces, but she notices clothes and oddities that are discarded by the train tracks below her.As the story unfolds, Hawkins develops each character into deeper, darker aspects of what we first know. Rachel is written to be dark from the beginning, however what the reader doesn't expect is the other characters are equally complex and dark.I highly recommend this book. The only reason I didn't give it 5 stars was the editing, e.g., misspelled words, incorrect word choice (then versus than). That flaw was distracting, but not so much as I didn't finish the book.",3,3,0,0,0,5,1,4,9,11
"465",-2.45,"This book was ok. The blackouts of the main character seem a stretch, especially toward the end of the book. While I like the premise of the story unfolding through different character voices, the development of each character is shallow. You know each of the characters has demeaning, undesirable qualities, but they are just blah and predictable. The only nice character, Cathy, comes across as a doormat.As the book progresses, it becomes very predictable, which is disappointing. Without divulging too much information about specific characters, I felt at loose ends wondering what happened with some of the remaining characters. The ending was somewhat abrupt, almost as if the author had reached her quoto of pages and decided to call it quits before tying up the loose ends.I did see some style, plot, and character similarities  between this author and Gillian Flynn, however, Flynn's writing is more developed. I wouldnt say the book was a total wash, but I fail to understand the rave reviews.",2,0,2,1,1,2,2,2,3,4
"467",-1.1,"I originally wrote a very short review complaining that the author lifted the idea of her book from Agatha Crhistie.I'm editing this now because I think readers need to know some specific negatives about this, especially in the Kindle edition.About the novel: This is sort of a psychological mystery. It provides great suspense until midway, then it falls flat.  We think we have a complex, scary kind of lady on this train and that she is up to no good. In fact, the plot of the story is way less interesting and the mysterious crackpot isn't.I don't know why Hawkins uses triple narration. It does not move the story forward, in fact, the story doesn't know what direction it's going with this style narration. I kept saying, okay, when is this taking place, and thinking I have a chronology when I don't.Reading this in Kindle is excruciating. In a book, I'd be flipping pages backwards to check on who said what, when, and in regard to whom. With Kindle, you can only Go To a location or a page and Lord knows how you figure that out from the Table of Contents.If you think you'd like to read this, for godssakes don't buy it for Kindle.",0,5,2,3,2,0,4,5,3,7
"468",-3.25,"Was I the only person who thought this book was terrible? Aside from being completely implausible (but not ridiculous enough to be entertaining or diabolical enough to be disturbing) the protagonist was annoying. I hate to describe a character so teenager like but there really isn't much of a redemption in her character or a better way to say it. She's self aware enough and self loathing enough that I couldn't relate or empathize. I struggled to finish this book.",5,2,5,3,1,2,0,0,6,3
"470",-0.5,"This author certainly knows how to weave a sad tale of loneliness, sadness and how one person's selfish, evil acts can affect the lives of so many others. This book is definetly a page turner. After a certain point I knew who the killer was, but did not expect the person who steps up in the end to do so. The story line does keep your interest, but I had to put it down every few chapters and take a break from the main character's sadness. To me that speaks of the author's ability to absorb you into her words. I gave this book 4 stars because, even though it is well written and certainly worth reading, I do not have any interest in reading it again, I only rate books I would re-read 5 stars.",3,1,2,2,0,3,2,3,5,8
"472",-0.5,"A LITTLE CONFUSING AT TIMES.",0,0,0,0,0,0,0,0,0,0
"474",-1.5,"A little boring and frustrating in parts",0,0,0,0,0,0,0,0,1,0
"475",-0.25,"Original, inventive, puzzling book that explores the thought processes around a suburban woman's bleak life.",0,1,0,0,0,1,0,0,1,1
"477",-0.55,"Hard to stop reading!",0,0,0,0,0,0,0,0,0,1
"482",-4.6,"Poor alcoholic Rachel.  As she commutes daily on a train, heading towards a job she longer has, passing the same scenes daily, she creates a world of her own.  She fills it with characters that she assigns the perfect life, the perfect love.  Filling worthless, filled with longing for her ex husband and jealousy for his current wife and their new baby, she's witness to a murder.  Of course she's viewed with doubt.  After all she's an unreliable drunk who suffers blackouts and is obssessed with her ex husband's life. She sounds crazy and is viewed as such.  Twists and turns.  Some surprises.  I began to suspect who the murderer was half way through the book.  Still a good read that I kept going back to.  I felt real sorrow for Rachel.  Unable to move forward with her life, unable to admit that her past life is over, unable to decipher what memory is real and what is blurred by wine.  First time I have read htis aurthur.  I would read her again. Her characters are believable and I wanted to find out what happens to them",5,5,4,7,4,9,2,6,11,7
"484",-2,"As I started this book,I was sure that I reading the story from someone who had suffered a major head trauma and was trying to remember something that was important at a place she no longer lived at.  I didn't realize that there was 3 different women telling different but connecting tales. One was an alcoholic, another a stay at home mom whose husband she stole from his wife (the alcoholic), and emotional distressed wife, having an affair with the husband of the other two. One of these women winds up dead .The solving of her murder falls to the other two because of their connection.  My impression of Rachel,the girl on the train, leaves me hoping there is a better future for those who try",1,0,1,2,0,1,1,1,2,4
"486",-1.5,"I think the most surprising portion of the book encompasses Rachel's past. The complex, and tragic way the characters connect was interesting and made me want to read more.I will say that I called the ending. There was a portion of Megan's narration that just made it click. Of course, the book then distracts you into other appealing ideas, but they never quite pan out.The characters can be a bit of an annoyance. Rachel can be frustrating since she readily makes things more difficult for herself, and Anna is just a terrible person. When she talks, the malice is tangible.Overall, I did like it. I mean, I read it in two days, and I'm still looking forward to the film.",3,0,2,3,0,1,1,0,4,3
"487",-2.55,"Rachel Watson is the miserable poster woman for a Borderline Personality-disordered alcoholic who is depressed, anxious and has no redeemable qualities as a human being.  The premise itself is interesting; the point of view of the voyeuristic train passenger who imagines the lives of those living along the tracks of her daily commute.  Rachel finds herself in the middle of a mystery she feels compelled to participate in as a main character.  Just when you think her obnoxious and unreliable participation will actually contribute to something positive and meaningful - you are reminded that she is so shallow and self-serving that nothing good will come from her interference.  The other characters are equally as shallow and self-serving.  Although the book is very well-written and certainly interesting in it's telling, I couldn't help but be distracted by the fact that everyone was unlikable.  Ultimately, I was disappointed in the fact that Rachel never became a better person and we never learned the source of her sociopathic behavior. There was no one to root for  (not even the police) and in the end I am baffled as to why everyone was as deranged as they were.",6,6,4,4,1,4,2,4,9,9
"496",-0.75,"I read this book mostly because I like to read books that are about to become a movie and feel like I've beaten the suspense of waiting for it to come out! anyways, I don't know what all the big fuss is about! I mean it's a good story and all, I didn't see that ending coming but I started to figure it out about 3/4 of the book. I got the audiobook version so the listen is always good! I get a good sense of the characters by who is doing the dialogue. I just felt like the story was being dragged on! I feel like it could've been shorter and we still could've gotten the same ending! I mean I get it! She's a terrible alcoholic but it just kept being dragged on and on! But again this is not my typical read, so for what it was worth it was ok. I think you'll be ok if you just want to wait for the movie though!",2,4,1,2,1,2,2,1,3,3
"498",-2,"A very disappointing read I found myself telling the characters to get a life.  It took me a couple chapters before I realized that there were three different girls as their voices were so similar. They make the most stupid spur of the moment decisions that get them into really bad situations especially Rachel and Megan. Anna is a piece of work I didn't like her at all.  I really didn't like any of the characters in this book and I found it very depressing and had to make myself finish it.  A few other people I spoke to about the book said that they couldn't finish it and that if I did I should tell them what happened. I am curious to see how they have made this into a movie.",1,0,2,2,1,3,0,1,5,1
"512",-1.7,"I found the lead character was an alcoholic stalker who needed serious help. She should have been reported for stalking a long time ago. That said life is full of people like her and the other weird abusers unfortunately.The book was nothing like I expected and I  did appreciate the style it was written in. Some of it was predictable with character personalities to who did it. I guess my rating is due to expecting more from all of the hype it got.",1,5,1,1,1,1,1,1,3,3
"514",-1.8,"Really, really good...better than I expected really, and with a lot of psychological complexity that doesn't fully come clear until the payoff at the end. Honestly found parts of it difficult to read. I normally really struggle with books about addiction or with addicts as main characters...much less narrators...so it's really a tribute to the writing that I found it impossible to put down, in spite of that.While I suspected/guessed aspects of that ending, that psychological complexity I mentioned still made the payoff really worthwhile. I found myself thinking about layers of that days later, in terms of the dimensionality of the characters themselves. I don't want to say too much due to the spoiler thing, but anyone who knows anything about trauma and how it affects people will probably pick up on a lot of this, especially in relation to the Rachel character and her spiral following her divorce.A great mystery story...and a great psychological thriller. I'll definitely be looking out for more by this author!",3,3,1,3,2,4,3,5,7,7
"515",-1.8,"I wanted to love this book, but I was disappointed. The characters are shallow and boring. The ""girl""  and other  female characters are weak and present as victims. They have been mistreated, but fall into the don't help yourself mode of dealing with their circumstances. That's not me. The structure of the book felt contrived- as in I don't have an interesting tale so I'll add a confusing format. The telling was tedious and only got interesting near the end and then there was some additional prose that seemed to have no purpose as an ending. I'm sure it will be an entertaining movie w the right actors, but the book was a flop for me.",1,2,2,0,3,3,1,2,5,7
"518",-1.65,"Now I see why The Girl On The Train is this year's Gone Girl.  Rachel rides the train daily to London, watching one particular couple as she passes their house.  She playfully names them Jess and Jason and creates their own perfect fantasy marriage.  But one day, the lady of the house is nowhere to be seen.  Rachel suspects foul play.  She confronts the police and nearby neighbors.  There's one huge catch: Rachel has a drinking problem.  She's an unreliable witness, and has an ugly past with the neighborhood.  If she keeps prying, Rachel could become the next headline.  Written from the perspective of Rachel, Anna and Megan, Hawkins displays her Train ladies as journal entries, taken in morning and evening segments.  Will anyone ever believe Rachel, especially the fateful night she can't quite remember?  Is Anna really the sweet, caring, overprotective mom?  And what about Megan, the missing artist with the twisted past?  Hitchcock in its styling, with enough red herrings to open an aquarium, and a tarnished heroine the reader can root for, The Girl On The Train is well worth the ticket. I can't wait for the movie!",1,6,2,4,3,2,2,7,8,7
"529",-3.25,"It's hard to give a book 3 stars when it really kept me tied to my Kindle. But there's a strange dichotomy here. It's a rather dark thriller which kept me guessing until about page 170, where I sort of guessed how things meshed together. But I did not like the characters. Apart from aspects of Scott, I could not feel the empathy a reader should have with at least one or two characters. Rachel, the alcoholic, is one of those women who seem to moan and whine and irritate people. She irritated me, and her frequent and total blackouts after binge drinking were not always convincing. Anna is such a typical weak and clingy type -- but at the very end she's suddenly this amazingly strong woman just when the reader expects her to fall apart. Megan's psychiatrist remains a very vague figure, as does Megan herself. In fact, Megan is the least convincing character.But hey, there's a murder ...nuff said, I don't want to spoil the book for you. The atmosphere right through is somewhat depressing and humour is completely absent. But I guarantee you -- the book will still keep you reading until the very last page.",1,0,5,3,1,7,3,4,9,7
"534",-1,"awfully coincidental, but page turner",0,0,0,0,0,0,0,0,0,0
"546",-0.5,"too redundant",0,0,0,0,0,0,0,0,1,0
"547",-1.9,"I absolutely hated this book.  It was a nightmare of self-analysis, insecurity, drunken blackouts, and soap opera drama.Ugh!  Save your money.",2,2,1,3,3,1,2,3,3,3
"556",-0.25,"Creepy, but really good!",0,1,0,0,1,0,1,1,0,1
"564",-3.35,"I put off buying this book because my husband always whines if I buy books written by women since he reads everything I buy and usually hates the 'female' point of view--.but this time--I read the book in an afternoon and evening and he decided to give it a try.  I thought maybe he'd hate it--it's first person ""female""...but he loved it--I totally lost him for the evening as he was engrossed from page one.The story is a sad one in many ways--especially if you or anyone close to you has an issue with addiction.  Simply reading the book can put you off alcohol for awhile.  The characters ring true--you ache for the main character and feel her confusion and fear.  I usually can figure out the 'who done it' by the time I'm a third of the way through most any mystery, but this one kept me guessing and even when I guessed right I didn't want to believe it.Fast paced--the kind of book you fall into and don't want to put down.  And--for all the men who fear women writers for their sentimentality--this is the perfect read.",3,4,1,3,2,4,1,2,7,6
"565",-1.55,"Like so many others have written in these reviews, I kept waiting for something momentous to happen.  Nothing.  It's just the stupidest story I can imagine. No wonder Hollywood has optioned it!  If you like reading about depressing alcoholics, stalkers, and ridiculous side characters, then this book is for you. No thank you. Yuck.",1,1,2,0,0,1,0,0,2,1
"566",-2,"I have about 75 more pages until I'm finished with this book. Yes, it's been dragging along for me and there are a few reasons:  1. The main characters lack real depth. I want to empathize or ""side"" with at least one of the characters but being unformed, they come across as one-dimensional and simply self-absorbed; 2. The book lacks suspense. The pace of the book is erratic because the author jumps back and forth in time for all of the main characters. These ""interruptions"" stall any suspense that should be building and growing and; 3. Like a STEREOTYPICAL day in London, the tone of the of the book is grey and gloomy which equated to dull for me.  I really wanted to like this book like the majority of reviewers and be able to tell friends and relatives, "" You really need to read this book!""  Not the case here.......but that's just my opinion.",0,2,1,2,1,3,2,4,5,7
"575",-1,"Boring",0,0,0,0,0,0,0,0,1,0
"579",-1.65,"I can't believe people actually like this!  This is boring, predictable, and just plain stupid.  There are basically a handful of events that just repeat itself until the writer decides it's enough.  The characters are boring and not likable.  The plot is repetitive.  They are all one dimensional.  I had 5th grade students who write like this.  There is no suspense.",0,1,0,1,0,0,1,0,2,1
"586",-0.8,"The plot is thin and all problems are solved when the main character's blackout memory gap suddenly resolves itself . . . despite the author's repeated warnings throughout the book that this is not how blackouts work. But it doesn't matter. By the end you don't care who dies or who survives because the characters are so ridiculously unlikable. Spoiler alert: Don't bother pushing through to the end under the assumption that it has to get better. It does not.",0,0,0,0,0,1,1,0,3,1
"588",-0.8,"I read this book in ONE weekend...and I have a toddler.  It is the definition of a page turner.  It is told from 3 sets of views.  Rachel is the main character.  She is a young woman living a life of lies.  Her alcoholism cost her marriage, job and dream life.  To keep up appearances, she rides the train to the job she no longer holds.  She takes this opportunity to watch the house her ex husband and new wife live in.  She also becomes obsessed with the neighbors, Jess, a few houses down.  She make believes a life for them and creates a story surrounding the beautiful woman and her husband.  Her obsessive nature leads to several run ins with her ex husband and his new wife and former mistress, Anna.  After an alcohol filled night she discovers Jess is missing and she has no  recollection of the night.  All she knows is that she was on that street and had an altercation with Anna.  It is a gripping page turner and about the time you think you have it figured out... guess again!",3,5,2,3,3,2,2,1,4,6
"589",-1.85,"I wonder if I was the only person who hoped that Rachel would also at some point, be murdered. She was almost unbearably pathetic and unfortunately without any other strong, likable characters I just found myself whipping through the book so I didn't have to be reading it anymore.",0,0,1,0,1,1,0,1,1,2
"594",-1.9,"The girl on the train is Rachel.  When the train stops at the signals, Rachel follows the movements of the couple who live at 11 Blenheim Road.  In her imagination they are Jess and Jason. In fact they are Scott and Megan.  A few doors down that road live Tom, Rachel's ex-husband, and his new wife, Anna. Rachel imagines a blissfully in love couple and is shocked when she sees another man in the back yard with Megan in an intimate embrace. Then there is the news that Megan is missing.  Rachel feels compels to assist the police.  And so the complex investigation begins.  However, underlying the whole story is Rachel's alcoholism and her propensity to invent things (tell lies).  The narration is shared between Rachel, Megan and Anna.  Rachel tries to fight her alcoholism and this has a poignant insight into the struggle of an addict to try to kick the habit – with always an excuse to procrastinate – “I'll start tomorrow”.  It always bothers me when the author chooses to tell the murder in the victim's voice.  The underlying theme of the book, one could say, is “truth or lies”.",5,5,2,6,3,4,2,7,8,7
"597",-3.65,"I will be honest the book was amazing. It pulled you in to the lives of everyone in the book. You felt there anger, pain, and confusion. You trusted and you were betrayed. You somehow become part of the book trying to figure out who killed Megan. It kept you captured with sleepless nights. Until the end. Sadly the ending left unsatisfied. It didn't quench my thirst on how the characters were left off. It just left you hanging, hoping for more but sadly nlothing else will come. I wished the author ended it without the cliffhanger, in my opinion. But all in all the book was great but ending sucked. So I am giving it 4 stars instead of 5.",4,1,3,4,1,6,1,2,6,3
"598",-3,"I'm bedridden after surgery so just finished reading Girl on the Train to pass the time.What I liked: the plot. I found it an unusual writing style to tackle the story from a commuter's perspective.What I didn't like: not one single character. For me, I don't have to fall in love with a character (I certainly didn't with Gone Girl and I loved that book). But Rachel, the main character was thin, underdeveloped, shallow, weak, self-pitying and a drunk. The book is told by three characters, Rachel being the main one. Anna is married to Rachel's ex-husband, whom Rachel still pines for. Anna is vapid, self-centered and flat out annoying. Megan (who is first known as Jess in Rachel's fairy-tail version of people she views from the train window) is mentally unstable with a sordid past.I figured out the ending about two thirds through. This was disappointing because I like to be utterly shocked by a book's ending. It's not the worst book I've read, but certainly not the best. It'll do.",3,1,1,3,2,4,2,1,5,4
"600",-6.5,"A depressed girl lives in a fantasyland, refuses to move on, rides the train everyday, pretends to work, creates a life for some people she sees who lived by her old house. She gets so drunk all the time she has blackout moments. The girl she created a life for goes missing. She inserts herself into the investigation because she has nothing else to do. The whole book goes back and forth between what happened, I'm scared, she acts completely paranoid, and round and round we go. I just wanted the book to get on with it!!  Seriously how many times can we stand to listen to her internal monologue?  Not to mention this book is extremely depressing. Author needs an editor. I got tired of the same drivel that didn't seem to move the story along. And don't even get me started on how pathetic every single woman was portrayed in this book. I think the idea was good but way to slow paced for me.",1,3,3,2,1,4,1,2,6,3
